,webUrl,website,review_Tags,address,description,name,numberOfReviews,tour_Offers,rankingString,rankingDenominator,rating,rawRanking,subtype/0,image
93,https://www.tripadvisor.com/Attraction_Review-g189400-d8426708-Reviews-First_Cemetery_of_Athens-Athens_Attica.html,http://www.tanea.gr/news/nsin/books/article/5432879/prwtos-odhgos-gia-ena-ypaithrio-moyseio,"amazing sculptures, couple of hours, guided tour, well worth a visit, tombstones, homes, melina, politicians, trees, marble, stories, visitors, greece, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Diagora Διαγόρα, Athens 116 36 Greece",,First Cemetery of Athens,103,"Exclusive Private Guided Tour through the History of Athens with a Local, nan, nan, nan, nan",#48 of 576 things to do in Athens,576,4.5,3.546920776,Cemeteries,https://media-cdn.tripadvisor.com/media/photo-o/08/61/8b/c7/first-cemetery-of-athens.jpg
97,https://www.tripadvisor.com/Attraction_Review-g189400-d198710-Reviews-Tower_of_the_Winds-Athens_Attica.html,http://www.mixanitouxronou.gr/i-aerides-tis-plakas-o-archeoteros-meteorologikos-stathmos-tou-kosmou-pou-ipologize-ton-kero-ke-tin-ora-pos-glitose-apo-ta-cheria-tou-archeokapilou-elgin,"water clock, roman agora, century bc, pentelic marble, ancient world, walk around, sundials, windy, octagon, structure, site, acropolis, euros, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Aiolou, Athina 105 55, Grecia, Athens 10555 Greece",A graceful stone tower dating back to the first century AD.,Tower of the Winds,367,"Athens Bike Tour: E-Bike or Regular Bike+Optional Acropolis Visit, Athens Highlights Afternoon Tour with Dinner - Private Experience, Athens Electric Bike Tour, Athens City and Sea bike tour, The History of Athens: Greek Mythology Private Tour",#43 of 576 things to do in Athens,576,4,3.636366606,Historic Sites,https://media-cdn.tripadvisor.com/media/photo-o/0f/39/c4/a0/tower-of-the-winds.jpg
127,https://www.tripadvisor.com/Attraction_Review-g189400-d14895894-Reviews-Athens_Wine_Tasting-Athens_Attica.html,http://www.athens-winetasting.com/,"wine making, grape varieties, highly recommend this experience, wine history, fun experience, interesting information, ancient times, greek history, theo, greece, knowledge, novice, olives, leader, introduction, participants, depth, insight, greeks, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Tournavitou 9, Athens 10553 Greece","We love to nurture our guests about Greece’s tastiest wines many of which they have never heard of. Our fun but professional approach will deliver an unforgettable experience and when you leave, you know much more about the wines of this country and wine tastings. Wine and spirit experiences introduced in small and intimate groups.",Athens Wine Tasting,312,"Best rated Acropolis Wine Tasting , Gin tasting experience in Athens, nan, nan, nan",#4 of 266 Nightlife in Athens,266,5,4.335833073,Wineries & Vineyards,https://media-cdn.tripadvisor.com/media/photo-m/1280/16/43/49/62/our-wine-matrix-and-wine.jpg
128,https://www.tripadvisor.com/Attraction_Review-g189400-d242820-Reviews-Arch_of_Hadrian-Athens_Attica.html,,"temple of olympian zeus, worth a quick stop, ancient road, photo opportunity, other attractions, panathenaic stadium, plaka district, roman, landmark, structure, site, ruins, marble, greece, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Leoforos Amalias, Athens Greece",,Arch of Hadrian,995,"Athens Bike Tour: E-Bike or Regular Bike+Optional Acropolis Visit, Highlights & Hidden Gems With Locals: Best of Athens Private Tour, Athens Electric Bike Tour, Acropolis & Parthenon Guided E-Bike Tour, Athens Shore Excursion: Private City Sightseeing and Acropolis Tour",#51 of 576 things to do in Athens,576,4,3.511922121,Monuments & Statues,https://media-cdn.tripadvisor.com/media/photo-o/0f/dd/01/5c/arco-de-adriano.jpg
133,https://www.tripadvisor.com/Attraction_Review-g189400-d198762-Reviews-Adrianou_Street-Athens_Attica.html,,"oldest street, monastiraki square, hadrian's library, ancient ruins, tavernas, acropolis, sites, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Odos Adrianou Plaka, Athens 105 55 Greece",A pedestrian-only tourist haunt lined with lots of cafes and shops.,Adrianou Street,454,"Athens Bike Tour: E-Bike or Regular Bike+Optional Acropolis Visit, Athens Scenic Electric Bike Tour, Athens Sunset Bike Tour on Electric or Regular Bike, Private Athens: Historical Walking Tour Including the Changing of the Guard, Private bike tour of Athens",#37 of 576 things to do in Athens,576,4,3.758913755,Points of Interest & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/00/11/3d/48/adrianou-street.jpg
134,https://www.tripadvisor.com/Attraction_Review-g189400-d267751-Reviews-Ermou_Street-Athens_Attica.html,http://www.furardi.com,"syntagma square, lots of shops, small church, shoppers, shoes, clothing, beggars, strolling, souvenirs, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens Greece,,Ermou Street,559,"Hop on Hop Off Classic tour of Athens, Athens Heart Private Walking Tour, Shopping in Athens Small Group Walking Tour, Shop til you Drop in Athens!, Greek Private Food Walking Tour - Taste (Y)Our Way",#50 of 576 things to do in Athens,576,4,3.522637844,Points of Interest & Landmarks,https://media-cdn.tripadvisor.com/media/photo-o/0e/00/51/27/capnikarea-church.jpg
140,https://www.tripadvisor.com/Attraction_Review-g189400-d198777-Reviews-Psirri-Athens_Attica.html,,"street art, interesting neighborhood, wine bar, metro station, walk around, graffiti, tavernas, kook, cinque, tourists, ermou, stroll, neighborhoods, maze, acropolis, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens Greece,"THE place for the young and chic: this neighborhood is lined with the trendiest shops, clubs and bars in the city.",Psirri,361,"Get Lost in Athens with an Insider, Athens Moonlight Waling Tour with Drinks and Meze Dishes, Athens Highlights Afternoon Tour with Dinner - Private Experience, Athens Street Art Walk, Small-Group Food Tour and Wine Tasting in Athens by Night ",#33 of 576 things to do in Athens,576,4,3.822471142,Neighborhoods,https://media-cdn.tripadvisor.com/media/photo-s/00/11/3d/3f/psiri.jpg
141,https://www.tripadvisor.com/Attraction_Review-g189400-d2662538-Reviews-Museum_Herakleidon-Athens_Attica.html,http://herakleidon.org,"ancient greek, gift shop, interesting exhibits, science, mathematics, technology, escher, war, art, technical, phyllo, herons, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","16, Herakleidon str., Thisseio, Athens 118 51 Greece","The Museum Herakleidon was founded in 2004 by Mr and Mrs Firos and extends to two buildings in the historic district of Thissio, next to the Acropolis, the Ancient Agora and the Temple of Hephaestus. The first building is located at 16 Herakleidon str. and the second one 150 meters further, at 37 Ap. Pavlou str., one of the busiest pedestrian streets of Athens. During the first decade of its operation, the museum focused on artistic activities and organized exhibitions with artworks of great artists such as M.C. Escher, Victor Vasarely, Carol Wax, Constantine Xenakis, Adolf Luther, Francesco Scavullo, Toulouse-Lautrec, Edgar Degas, Edvard Munch, Sol LeWitt and others. At the same time, a plethora of cultural activities allowed visitors to explore the essence of each artist's perspective. Today the Museum Herakleidon has evolved to an interactive center of science popularization and to a technological museum that focuses on antiquity, with emphasis on the achievements of the ancient",Museum Herakleidon,126,"Athens Museum Unlimited Pass, nan, nan, nan, nan",#34 of 576 things to do in Athens,576,4.5,3.797821522,Specialty Museums,https://media-cdn.tripadvisor.com/media/photo-m/1280/15/5b/ff/e7/antikythera-mechanism.jpg
142,https://www.tripadvisor.com/Attraction_Review-g189400-d2432271-Reviews-The_Academy_of_Athens-Athens_Attica.html,http://www.academyofathens.gr/echome.asp?lang=2,"neoclassical building, national library, theophil hansen, plato, trilogy, athena, apollo, architecture, statues, photogenic, photographs, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","28 Panepistimiou Avenue, Athens 106 79 Greece",,The Academy of Athens,353,"Athens Highlights Half Day Private Tour, Athens Half-Day Sightseeing Tour, Athens Full Day Private Tour, Athens, The Acropolis and Cape Sounion Full-Day Tour with Lunch, Tuk Tuk in Athens! Explore the city with our tour escort !!",#25 of 576 things to do in Athens,576,4.5,3.939675808,Architectural Buildings,https://media-cdn.tripadvisor.com/media/photo-m/1280/14/eb/c7/48/caption.jpg
143,https://www.tripadvisor.com/Attraction_Review-g189400-d3672094-Reviews-Museum_of_the_Ancient_Agora-Athens_Attica.html,http://odysseus.culture.gr/h/1/eh151.jsp?obj_id=3290,"interesting artifacts, worth a visit, site, reconstruction, ruins, society, treasure, euros, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","24 Adrianou, Athens 105 55 Greece",,Museum of the Ancient Agora,753,"Athens Full Day Private Tour, Private: Walking Tour Ancient Agora-Athens Central Market & Food Tour, Athens private day tour (up to 8 hours), from Athens center or Piraeus, Jewish & Athens highlights Private tour from Athens Piraeus (8h ), Essential Athens Full Day Private Tour - Best Shore Excursion ",#29 of 576 things to do in Athens,576,4.5,3.859717846,History Museums,https://media-cdn.tripadvisor.com/media/photo-o/0f/fb/3f/6b/museum-of-the-ancient.jpg
144,https://www.tripadvisor.com/Attraction_Review-g189400-d198763-Reviews-Chapel_of_St_George-Athens_Attica.html,http://www.johnsanidopoulos.com/2013/05/the-chapel-of-st-george-on-lykavittos.html,"lycabettus hill, cable car, greek orthodox, small church, worth the climb, well worth a visit, pray, taxi, hike, artwork, george, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens Greece,A lovely 19th century Greek Orthodox Church.,Chapel of St. George,189,"nan, nan, nan, nan, nan",#46 of 576 things to do in Athens,576,4.5,3.609776258,Sacred & Religious Sites,https://media-cdn.tripadvisor.com/media/photo-o/10/d7/42/37/chapel-of-st-george.jpg
145,https://www.tripadvisor.com/Attraction_Review-g189400-d198707-Reviews-Hellenic_Parliament-Athens_Attica.html,http://www.welcome-greece.gr/,"every hour, unknown soldier, syntagma square, royal palace, guard ceremony, traditional uniforms, takes place, national gardens, worth a visit, tomb, choreography, greece, outfit, tourists, government, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Parliament Mansion, Athens GR-10021 Greece",A beautiful columned building built in the classical Greek style.,Hellenic Parliament,1156,"Hop on Hop Off Classic tour of Athens, Athens Highlights Half Day Private Tour, Tuk Tuk in Athens! Explore the city with our tour escort !!, Athens city Highlights Half Day Private Tour, Acropolis Walking Tour, Including Syntagma Square & City Center",#47 of 576 things to do in Athens,576,4,3.575930595,Government Buildings,https://media-cdn.tripadvisor.com/media/photo-o/12/ba/a3/ba/photo.jpg
146,https://www.tripadvisor.com/Attraction_Review-g189400-d19309950-Reviews-Museum_of_the_Basil_Elise_Goulandris_Foundation-Athens_Attica.html,http://goulandris.gr,"greek artists, van gogh, works of art, art lovers, small collection, fabulous collection, contemporary art, we spent hours, gift shop, degas, paintings, films, master, century, information, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Eratosthenous 13, Athens 11635 Greece","The Museum of the Basil & Elise Goulandris Foundation in Athens houses one of the most important private collections to be assembled in the course of the second half of the 20th century. The Collection of the B&E Goulandris Foundation focuses on modern and contemporary art by world-renowned artists such as Cézanne, van Gogh, Gauguin, Monet, Degas, Rodin, Toulouse-Lautrec, Bonnard, Picasso, Braque, Léger, Kandinsky, Miró, Giacometti, Balthus, Pollock, Bacon, Lichtenstein and Botero as well as acclaimed modern and contemporary Greek artists including Parthenis, Bouzianis, Vassiliou, Hadjikyriakos-Ghika, Tsarouchis, Moralis, Tetsis, Takis, Chryssa, Stamos and others.",Museum of the Basil & Elise Goulandris Foundation,113,"nan, nan, nan, nan, nan",#7 of 576 things to do in Athens,576,5,4.238811016,Art Museums,https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/86/a7/37/the-basil-elise-goulandris.jpg
148,https://www.tripadvisor.com/Attraction_Review-g189400-d524626-Reviews-Metropolitan_Cathedral_of_Athens-Athens_Attica.html,,"light a candle, big church, important church, lovely square, old church, virgin mary, plaka area, ornate, greece, beauty, artwork, facade, ritual, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Mitropoleos Square, Athens 999 20 Greece",,Metropolitan Cathedral of Athens,418,"Athens Bike Tour: E-Bike or Regular Bike+Optional Acropolis Visit, Acropolis & Parthenon Guided E-Bike Tour, Athens Scenic Electric Bike Tour, Private Walking Tour: Ancient Agora, Plaka and Monastiraki monuments, Electric Bike discover of Old and New Athens with Street Food ",#38 of 576 things to do in Athens,576,4,3.716177464,Points of Interest & Landmarks,https://media-cdn.tripadvisor.com/media/photo-m/1280/16/57/39/e0/metropolitan-cathedral.jpg
149,https://www.tripadvisor.com/Attraction_Review-g189400-d644890-Reviews-Pnyx-Athens_Attica.html,http://www.stoa.org/athens/sites/pnyx.html,"ancient athenians, great view of the acropolis, rocky hill, historical importance, acropolis entrance, olive trees, ancient athens, free entrance, great history, archaeological site, ancient greek, democracy, platform, citizens, birthplace, hellas, workshop, democratic, voting, monument, parliament, landscape, blast, ruins, activity, nan, nan, nan, nan, nan","Philopappos Hill, Athens Greece",,Pnyx,152,"Athens Riverside: A Journey in Mythical Athens, Athens Bike Tour: E-Bike or Regular Bike+Optional Acropolis Visit, Athens Electric Bike Tour, Athens Scenic Electric Bike Tour, Ancient Athens for Kids 4-Hour Private Walking Tour",#32 of 576 things to do in Athens,576,4.5,3.832242012,Points of Interest & Landmarks,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/e5/72/57/muri-di-sostenimento.jpg
